Time_s,Current_A,Speed_rad_s,Position_rad
0,0,0,0
0.002002002002002,0.0479519840160219,23.7851401126522,0.0238883911371801
0.004004004004004,0.0957123519677894,47.0988361501556,0.0949211897892405
0.00600600600600601,0.143281869552836,69.9504325819958,0.21216394900763
0.00800800800800801,0.190661299408977,92.3490886613952,0.374700743470093
0.01001001001001,0.237851401126522,114.303782096475,0.581633802364526
0.012012012012012,0.284852931260461,135.823312648651,0.83208314954928
0.014014014014014,0.331666643342589,156.91630565971,1.12518625084586
0.016016016016016,0.378293287893594,177.591215508965,1.4600976683227
0.018018018018018,0.42473361243508,197.856329001903,1.8359887214313
0.02002002002002,0.470988361501556,217.719768691651,2.25204715485892
0.022022022022022,0.517058276652373,237.189496134616,2.70747681296487
0.024024024024024,0.562944096483614,256.273315081592,3.20149732066966
0.026026026026026,0.608646556639928,274.978874605619,3.7333437706693
0.028028028028028,0.654166389826333,293.313672167843,4.30226641684933
0.03003003003003,0.699504325819958,311.285056622605,4.90753037377557
0.032032032032032,0.744661091481742,328.90023116297,5.54841532214139
0.034034034034034,0.789637410768091,346.166256207877,6.22421522005315
0.036036036036036,0.834434004742479,363.090052232049,6.93423802003839
0.038038038038038,0.879051591587016,379.678402539826,7.67780539166303
0.04004004004004,0.923490886613952,395.937955984014,8.45425244964669
0.042042042042042,0.967752602277153,411.875229630835,9.26292748736695
0.044044044044044,1.01183744818352,427.49661137207,10.1031917156458
0.046046046046046,1.05574613110437,442.808362485415,10.9744190067137
0.048048048048048,1.09947935498675,457.816620144093,11.8759956432484
0.0500500500500501,1.14303782096475,472.527399876721,12.8073200723879
0.0520520520520521,1.18642222737072,486.946597978428,13.7678026646197
0.0540540540540541,1.22963326974648,501.079993874166,14.7568654774482
0.0560560560560561,1.27267164085447,514.933252435199,15.7739420237474
0.0580580580580581,1.31553803068883,528.511926249655,16.8184770447042
0.0600600600600601,1.35823312648651,541.821457848094,17.8899262872627
0.0620620620620621,1.40075761273826,554.867181884948,18.9877562859797
0.0640640640640641,1.44311217119959,567.654327276728,20.1114441492041
0.0660660660660661,1.48529748090172,580.188019297855,21.2604773494938
0.0680680680680681,1.52731421816247,592.473281634939,22.4343535181878
0.0700700700700701,1.5691630565971,604.51503840035,23.6325802440491
0.0720720720720721,1.61084466712908,616.318116105871,24.8546748758994
0.0740740740740741,1.65235971800089,627.887245597236,26.1001643291653
